date,eid,cid,rate
2022-04-06 04:00:00,4,LTC,120.29
2022-04-06 04:00:00,5,LTC,120.245
2022-04-06 04:00:00,1,LUNA,117.84
2022-04-06 04:00:00,2,LUNA,118.04
2022-04-06 04:00:00,3,LUNA,117.8587
2022-04-06 04:00:00,4,LUNA,117.92
2022-04-06 04:00:00,5,LUNA,117.86
2022-04-06 04:00:00,1,ADA,1.142
2022-04-06 04:00:00,2,ADA,1.1407
2022-04-06 04:00:00,3,ADA,1.141499
2022-04-06 04:00:00,4,ADA,1.14164
2022-04-06 04:00:00,5,ADA,1.141385
2022-04-06 04:00:00,1,DOT,21.51
2022-04-06 04:00:00,2,DOT,21.51
2022-04-06 04:00:00,3,DOT,21.51
2022-04-06 04:00:00,4,DOT,21.5041
2022-04-06 04:00:00,5,DOT,21.511
2022-04-06 05:00:00,1,BTC,45368.13
2022-04-06 05:00:00,2,BTC,45395.9
2022-04-06 05:00:00,3,BTC,45370
2022-04-06 05:00:00,4,BTC,45385
2022-04-06 05:00:00,5,BTC,45376
2022-04-06 05:00:00,1,ETH,3356.71
2022-04-06 05:00:00,2,ETH,3358.86
2022-04-06 05:00:00,3,ETH,3356.58
2022-04-06 05:00:00,4,ETH,3358.93
2022-04-06 05:00:00,5,ETH,3357.2
2022-04-06 05:00:00,1,LTC,121
2022-04-06 05:00:00,2,LTC,121.02
2022-04-06 05:00:00,3,LTC,120.91
2022-04-06 05:00:00,4,LTC,121.15
2022-04-06 05:00:00,5,LTC,120.925
2022-04-06 05:00:00,1,LUNA,115.76
2022-04-06 05:00:00,2,LUNA,115.81
2022-04-06 05:00:00,3,LUNA,115.7375
2022-04-06 05:00:00,4,LUNA,115.75
2022-04-06 05:00:00,5,LUNA,115.77
2022-04-06 05:00:00,1,ADA,1.145
2022-04-06 05:00:00,2,ADA,1.1459
2022-04-06 05:00:00,3,ADA,1.145776
2022-04-06 05:00:00,4,ADA,1.145782
2022-04-06 05:00:00,5,ADA,1.145585
2022-04-06 05:00:00,1,DOT,21.54
2022-04-06 05:00:00,2,DOT,21.55
2022-04-06 05:00:00,3,DOT,21.5384
2022-04-06 05:00:00,4,DOT,21.5314
2022-04-06 05:00:00,5,DOT,21.529
2022-04-06 06:00:00,1,BTC,45333.74
2022-04-06 06:00:00,2,BTC,45343.7
2022-04-06 06:00:00,3,BTC,45335.89
2022-04-06 06:00:00,4,BTC,45346.2
2022-04-06 06:00:00,5,BTC,45340
2022-04-06 06:00:00,1,ETH,3348.03
2022-04-06 06:00:00,2,ETH,3347.89
2022-04-06 06:00:00,3,ETH,3347.69
2022-04-06 06:00:00,4,ETH,3348.13
2022-04-06 06:00:00,5,ETH,3348.1
2022-04-06 06:00:00,1,LTC,121.1
2022-04-06 06:00:00,2,LTC,121.02
2022-04-06 06:00:00,3,LTC,121.06
2022-04-06 06:00:00,4,LTC,121.04
2022-04-06 06:00:00,5,LTC,121.125
2022-04-06 06:00:00,1,LUNA,115.1
2022-04-06 06:00:00,2,LUNA,115.18
2022-04-06 06:00:00,3,LUNA,115.1099
2022-04-06 06:00:00,4,LUNA,115.11
2022-04-06 06:00:00,5,LUNA,115.16
2022-04-06 06:00:00,1,ADA,1.145
2022-04-06 06:00:00,2,ADA,1.1446
2022-04-06 06:00:00,3,ADA,1.144
2022-04-06 06:00:00,4,ADA,1.144681
2022-04-06 06:00:00,5,ADA,1.14383
2022-04-06 06:00:00,1,DOT,21.42
2022-04-06 06:00:00,2,DOT,21.4
2022-04-06 06:00:00,3,DOT,21.4176
2022-04-06 06:00:00,4,DOT,21.4101
2022-04-06 06:00:00,5,DOT,21.425
2022-04-06 07:00:00,1,BTC,45077.33
2022-04-06 07:00:00,2,BTC,45132.24
2022-04-06 07:00:00,3,BTC,45082.42
2022-04-06 07:00:00,4,BTC,45094.3
2022-04-06 07:00:00,5,BTC,45087
2022-04-06 07:00:00,1,ETH,3328.77
2022-04-06 07:00:00,2,ETH,3330.13
2022-04-06 07:00:00,3,ETH,3328.4
2022-04-06 07:00:00,4,ETH,3327.29
2022-04-06 07:00:00,5,ETH,3328.3
2022-04-06 07:00:00,1,LTC,120.2
2022-04-06 07:00:00,2,LTC,120.28
2022-04-06 07:00:00,3,LTC,120.13
2022-04-06 07:00:00,4,LTC,120.09
2022-04-06 07:00:00,5,LTC,120.16
2022-04-06 07:00:00,1,LUNA,112.76
2022-04-06 07:00:00,2,LUNA,112.8
2022-04-06 07:00:00,3,LUNA,112.7634
2022-04-06 07:00:00,4,LUNA,112.42
2022-04-06 07:00:00,5,LUNA,112.78
2022-04-06 07:00:00,1,ADA,1.126
2022-04-06 07:00:00,2,ADA,1.127
2022-04-06 07:00:00,3,ADA,1.126739
2022-04-06 07:00:00,4,ADA,1.125736
2022-04-06 07:00:00,5,ADA,1.12623
2022-04-06 07:00:00,1,DOT,21.17
2022-04-06 07:00:00,2,DOT,21.2
2022-04-06 07:00:00,3,DOT,21.1743
